generation,t_env,v_vie,n_inversions_vie,lambda_cout,graine,eta_moyen,eta_ecart_type,p_naif_moyen,p_libre_moyen,delta_p_moyen,fitness_max,survie_naif,survie_libre,discrimination_naif,discrimination_libre,discrim_tiers1_libre,discrim_tiers3_libre,discrim_tiers1_naif,discrim_tiers3_naif,repas_moyen_libre,repas_moyen_naif,nutritifs_moyen_libre,toxiques_moyen_libre,cout_apprentissage_moyen,derive_acquise_moyenne,derive_preference_moyenne,n_especes,complexite_moyenne
0,faible,nulle,0,0.0,21,0.4981416489796242,0.29780458675996313,53.99483333333333,47.241416666666666,-6.753416666666667,560.0,0.04,0.01,0.5392156862745098,0.5580246913580247,0.5333333333333333,0.9285714285714286,0.5636363636363636,0.6326530612244898,4.05,5.1,2.26,1.79,1.8087865359953395,0.007252545798541437,0.11062668622862283,1,48.0
1,faible,nulle,0,0.0,21,0.5606977609367639,0.2570561705755626,104.63033333333334,100.78816666666665,-3.842166666666665,1241.775,0.05,0.03,0.5887640449438202,0.7017543859649122,0.6774193548387096,0.6571428571428571,0.5773195876288659,0.5431034482758621,6.27,8.9,4.4,1.87,4.693248679792337,0.02923160379678536,0.13293844610515934,1,47.84
2,faible,nulle,0,0.0,21,0.6038087142322921,0.18965352771813526,151.52841666666666,186.56625,35.03783333333334,1355.0,0.1,0.11,0.5973724884080371,0.6875,0.7045454545454546,0.7165775401069518,0.6114649681528662,0.6650485436893204,12.48,12.94,8.58,3.9,10.616249221660773,0.053993014536827165,0.1874164107339396,1,47.63
3,faible,nulle,0,0.0,21,0.5510979485535333,0.15954194770978877,205.1701666666667,254.4215833333333,49.251416666666685,1615.0,0.11,0.14,0.6221142162818954,0.7091243110838946,0.6934306569343066,0.7536764705882353,0.6923076923076923,0.717948717948718,16.33,16.46,11.58,4.75,13.38784916739622,0.06457845482115135,0.15843664137428262,1,47.41
4,faible,nulle,0,0.0,21,0.5149344794172874,0.11357493877945167,263.94283333333334,316.03625000000005,52.09341666666666,1850.0,0.15,0.19,0.6139789858382824,0.7031325301204819,0.697452229299363,0.7655172413793103,0.6219512195121951,0.6308900523560209,20.75,21.89,14.59,6.16,16.599613700060775,0.0844320892323913,0.19438815794711722,1,47.07
5,faible,nulle,0,0.0,21,0.5204119122015295,0.0876941571075672,260.12891666666667,329.254,69.12508333333334,1680.0,0.16,0.19,0.630529897909577,0.6896243291592129,0.6847826086956522,0.7355163727959698,0.6932270916334662,0.6814159292035398,22.36,20.57,15.42,6.94,17.428928501492404,0.0870669665470391,0.19865236367345107,1,46.28
6,faible,nulle,0,0.0,21,0.4785505223903317,0.07402737525186216,293.13199999999995,351.1170833333333,57.98508333333334,1645.0,0.21,0.25,0.637203166226913,0.7091388400702988,0.7123595505617978,0.7472118959107806,0.6676136363636364,0.6840909090909091,22.76,22.74,16.14,6.62,15.793695222490229,0.08072058550018278,0.18892781192846378,1,46.36
7,faible,nulle,0,0.0,21,0.4526466669341366,0.0665481801378853,355.28083333333336,378.7404166666666,23.459583333333335,1635.0,0.33,0.29,0.6263582194181563,0.7038971474487746,0.6824034334763949,0.7599243856332704,0.6278688524590164,0.6337448559670782,24.89,28.53,17.52,7.37,15.97192670221371,0.08833982657416853,0.2472334949354603,1,45.93
8,faible,nulle,0,0.0,21,0.4196830514018047,0.06583424396621941,365.97591666666665,388.75725,22.781333333333333,1815.0,0.35,0.29,0.6681939671630394,0.7274979355904211,0.7131147540983607,0.7751277683134583,0.6600719424460432,0.6915492957746479,24.22,26.19,17.62,6.6,14.522206478680582,0.08921536570862915,0.24401844479440807,1,45.74
9,faible,nulle,0,0.0,21,0.4152391779003535,0.05563627642402143,360.21475,401.72683333333333,41.51208333333333,1520.0,0.32,0.33,0.649944669863519,0.7177482408131353,0.7032755298651252,0.7753164556962026,0.6810506566604128,0.6873198847262247,25.58,27.11,18.36,7.22,14.139472630573648,0.08531437763465727,0.2667892224818168,1,45.03
