generation,t_env,v_vie,n_inversions_vie,lambda_cout,graine,eta_moyen,eta_ecart_type,p_naif_moyen,p_libre_moyen,delta_p_moyen,fitness_max,survie_naif,survie_libre,discrimination_naif,discrimination_libre,discrim_tiers1_libre,discrim_tiers3_libre,discrim_tiers1_naif,discrim_tiers3_naif,repas_moyen_libre,repas_moyen_naif,nutritifs_moyen_libre,toxiques_moyen_libre,cout_apprentissage_moyen,derive_acquise_moyenne,derive_preference_moyenne,n_especes,complexite_moyenne
0,forte,nulle,0,0.0,23,0.5081140698740227,0.2821715032243125,41.43008333333333,43.28541666666666,1.8553333333333304,813.925,0.0,0.01,0.5310880829015544,0.5868263473053892,0.5714285714285714,0.8,nan,nan,3.34,3.86,1.96,1.38,1.7926383105151769,0.011150185336989223,0.08371593115988862,1,48.0
1,forte,nulle,0,0.0,23,0.4559901192059831,0.18827607952087708,63.59991666666668,89.15800000000002,25.55808333333334,1438.7166666666667,0.01,0.03,0.5762081784386617,0.6227810650887574,0.7096774193548387,0.6,0.8,0.5384615384615384,6.76,5.38,4.21,2.55,3.3966901081632295,0.01612051854625818,0.12409453482140133,1,47.89
2,forte,nulle,0,0.0,23,0.4358019293055902,0.1657250516521302,116.38491666666665,127.85949999999998,11.474583333333337,1435.0,0.06,0.07,0.6126224156692056,0.6752037252619325,0.6712328767123288,0.7708333333333334,0.5428571428571428,0.5701754385964912,8.59,9.19,5.8,2.79,4.579286242223584,0.025178128736622164,0.12678547405674057,1,47.85
3,forte,nulle,0,0.0,23,0.44437970720217534,0.1386748393688788,173.39791666666665,166.82674999999995,-6.5711666666666675,1201.9916666666666,0.1,0.08,0.6339622641509434,0.6830357142857143,0.7789473684210526,0.7578125,0.6923076923076923,0.5933333333333334,11.2,13.25,7.65,3.55,6.115320068914855,0.031696912628928785,0.12905445973493848,1,47.75
4,forte,nulle,0,0.0,23,0.41174496742832845,0.12615869411196645,184.33016666666663,212.48766666666663,28.157500000000006,1825.0,0.11,0.12,0.6482707873436351,0.694503925767309,0.7006802721088435,0.7570621468926554,0.752,0.7547169811320755,14.01,13.59,9.73,4.28,7.710101732143374,0.04082669520758281,0.13171265170655957,1,47.39
5,forte,nulle,0,0.0,23,0.41356894763402996,0.08953906327312723,45.13483333333333,88.91400000000002,43.77916666666666,850.0,0.0,0.03,0.3722627737226277,0.48047538200339557,0.5542168674698795,0.49295774647887325,nan,nan,11.78,12.33,5.66,6.12,7.221480225898597,0.029838269755327874,0.2408349736989694,1,47.64
6,forte,nulle,0,0.0,23,0.44017583337450183,0.08362472053685047,89.95058333333333,166.7591666666667,76.80858333333333,1058.2,0.04,0.08,0.4145251396648045,0.5391156462585034,0.5714285714285714,0.5942857142857143,0.4824561403508772,0.4154929577464789,17.64,17.9,9.51,8.13,11.23899267781041,0.03394132115056158,0.3105541238186027,1,47.47
7,forte,nulle,0,0.0,23,0.3794346172828963,0.08242986756020589,157.22158333333334,235.28249999999997,78.06091666666667,1300.0,0.09,0.15,0.4594594594594595,0.5575447570332481,0.6072507552870091,0.6518105849582173,0.5257142857142857,0.44642857142857145,23.46,24.05,13.08,10.38,11.955066132240361,0.04675043432189656,0.37535919102478843,1,47.97
8,forte,nulle,0,0.0,23,0.3760688373425208,0.07978292032535046,206.47241666666667,288.34425,81.87183333333333,2160.0,0.1,0.2,0.5063291139240507,0.5973819912733043,0.5930521091811415,0.6895674300254453,0.5665399239543726,0.550531914893617,25.21,25.28,15.06,10.15,12.293462086978023,0.049951938843963005,0.37579743503870205,1,47.55
9,forte,nulle,0,0.0,23,0.36146917561962666,0.06934543582581103,258.2679166666667,308.7606666666667,50.492749999999994,1540.0,0.18,0.25,0.5377697841726619,0.6107899807321773,0.6031746031746031,0.6988636363636364,0.593103448275862,0.531951640759931,25.95,27.8,15.85,10.1,11.65181833278213,0.04515671598893476,0.36616540758058364,1,46.75
10,forte,nulle,0,0.0,23,0.33887458190401026,0.0861759991160791,145.59074999999999,166.21925000000002,20.62849999999999,1810.0,0.07,0.07,0.4894957983193277,0.5310077519379846,0.6103896103896104,0.6453488372093024,0.625615763546798,0.5503875968992248,18.06,19.04,9.59,8.47,7.146929834675644,0.03344929438299787,0.2577453866195178,1,46.43
