generation,t_env,v_vie,n_inversions_vie,lambda_cout,graine,eta_moyen,eta_ecart_type,p_naif_moyen,p_libre_moyen,delta_p_moyen,fitness_max,survie_naif,survie_libre,discrimination_naif,discrimination_libre,discrim_tiers1_libre,discrim_tiers3_libre,discrim_tiers1_naif,discrim_tiers3_naif,repas_moyen_libre,repas_moyen_naif,nutritifs_moyen_libre,toxiques_moyen_libre,cout_apprentissage_moyen,derive_acquise_moyenne,derive_preference_moyenne,n_especes,complexite_moyenne
0,maximale,nulle,0,3.8,23,0.5141210143051513,0.27909569611713986,26.47458333333334,37.60625,11.131666666666668,499.9458485623991,0.0,0.0,0.4565916398713826,0.5548387096774193,nan,nan,nan,nan,3.1,3.11,1.72,1.38,1.3870638339095622,0.006727366918549716,0.10729705231166325,1,48.0
1,maximale,nulle,0,3.8,23,0.435339106951307,0.20425157285967288,51.32216666666666,66.63341666666666,15.311249999999998,1105.357566114309,0.02,0.01,0.5223300970873787,0.603082851637765,0.625,0.7666666666666667,0.6896551724137931,0.5882352941176471,5.19,5.15,3.13,2.06,2.546137030835632,0.013157832429333209,0.13247875406055956,1,48.04
2,maximale,nulle,0,3.8,23,0.36650082630550224,0.14220855932558427,88.42024999999998,81.39816666666667,-7.022083333333329,983.6708419285158,0.05,0.04,0.5110887096774194,0.563858695652174,0.6136363636363636,0.6037735849056604,0.5777777777777777,0.5483870967741935,7.36,9.92,4.15,3.21,3.4515507257556606,0.00971371323161299,0.14160128215579518,1,47.95
3,maximale,nulle,0,3.8,23,0.3548744538896335,0.09944344744475801,88.93191666666668,100.61916666666667,11.687249999999992,959.9836906591454,0.05,0.03,0.49812734082397003,0.5449101796407185,0.5277777777777778,0.6086956521739131,0.5727272727272728,0.49230769230769234,10.02,10.68,5.46,4.56,4.796102827626769,0.017134277419730472,0.19212473647827624,1,48.01
4,maximale,nulle,0,3.8,23,0.3635918110828937,0.09306941217582643,133.44674999999998,177.02433333333335,43.577583333333344,1231.776039798074,0.07,0.09,0.5204013377926422,0.6077498300475866,0.6136363636363636,0.6918238993710691,0.5897435897435898,0.5975609756097561,14.71,14.95,8.94,5.77,6.567310903569872,0.022162779350880502,0.24797662346702307,1,47.16
5,maximale,nulle,0,3.8,23,0.30537394251777794,0.08925779479470167,107.52183333333332,133.98833333333334,26.466500000000007,1123.9125245384432,0.04,0.05,0.4766162310866575,0.5612802498048399,0.5348837209302325,0.6261682242990654,0.6326530612244898,0.4942528735632184,12.81,14.54,7.19,5.62,5.092549992505699,0.022272180406461454,0.21862794986421621,1,47.22
6,maximale,nulle,0,3.8,23,0.32315766596729534,0.06698495105420549,201.85058333333333,219.82416666666668,17.97358333333333,1734.3646517958941,0.11,0.08,0.5206008583690988,0.6036131774707758,0.5885714285714285,0.6519607843137255,0.5532646048109966,0.525987525987526,18.82,23.3,11.36,7.46,7.6913683716080286,0.026780209667998586,0.21374063138457763,1,47.04
7,maximale,nulle,0,3.8,23,0.3064505150250039,0.06154137745746051,135.0504166666667,182.61775,47.56733333333334,1453.6330338818796,0.06,0.12,0.48317705460562604,0.5716783216783217,0.569620253164557,0.6324110671936759,0.6025641025641025,0.5272727272727272,17.16,18.13,9.81,7.35,6.558185090935848,0.02354022249102044,0.2202913070302268,1,45.82
8,maximale,nulle,0,3.8,23,0.28164384916678714,0.06323307084867989,205.7083333333334,246.1973333333333,40.489000000000004,1162.984971874225,0.11,0.15,0.5069637883008357,0.5788091068301225,0.5930599369085173,0.6328767123287671,0.5230769230769231,0.5626911314984709,22.84,25.13,13.22,9.62,7.4073232513203005,0.02798881816578862,0.2893814983039193,1,45.53
9,maximale,nulle,0,3.8,23,0.2679240903764024,0.08433354997026808,212.73816666666664,264.6486666666667,51.9105,1630.1045099300984,0.18,0.21,0.49943841257955823,0.5766275778406793,0.5728155339805825,0.6365638766519823,0.5256064690026954,0.4675324675324675,24.73,26.71,14.26,10.47,7.174602674914427,0.02757784928330722,0.30279412877648054,1,45.82
10,maximale,nulle,0,3.8,23,0.26165422788857784,0.0582008517650794,224.15375,264.44175,40.288,1387.3960681308097,0.13,0.21,0.5025071633237822,0.573024740622506,0.5990566037735849,0.6021978021978022,0.5919117647058824,0.5700245700245701,25.06,27.92,14.36,10.7,7.1558417164326364,0.030320839093472704,0.2967666824871595,1,45.66
11,maximale,nulle,0,3.8,23,0.2546520129545674,0.06012197106794547,238.52524999999997,287.54049999999995,49.015249999999995,1192.7914663608872,0.16,0.2,0.5262374395236323,0.6037201779215527,0.6092233009708737,0.6918489065606361,0.6414473684210527,0.618925831202046,24.73,26.87,14.93,9.8,6.624131065429553,0.03274110171777489,0.2628025754744262,1,45.23
12,maximale,nulle,0,3.8,23,0.2524904669008114,0.06533251547160542,156.09525,172.34508333333335,16.249833333333342,1282.5463219385751,0.08,0.07,0.46160337552742614,0.5317796610169492,0.5843373493975904,0.6269430051813472,0.5135135135135135,0.504,18.88,23.7,10.04,8.84,4.806711648106937,0.023677512547491984,0.2351381565028447,1,44.89
13,maximale,nulle,0,3.8,23,0.24336934419522355,0.074180361890725,294.3283333333333,378.4014166666667,84.07308333333333,1310.8702843567542,0.18,0.32,0.55462746408286,0.6310550763105508,0.6170886075949367,0.6964285714285714,0.5971223021582733,0.6007604562737643,30.14,29.93,19.02,11.12,7.515444839446686,0.039892048670310175,0.26284285324781403,1,45.53
14,maximale,nulle,0,3.8,23,0.2452403723006004,0.0745851251576239,147.54508333333334,130.01025000000004,-17.53483333333333,636.146089547714,0.07,0.05,0.4593280282935455,0.4822247706422018,0.6057692307692307,0.5280898876404494,0.5822784810126582,0.475,17.44,22.62,8.41,9.03,3.7329985797634317,0.01965924869944128,0.23739188967108674,1,45.71
15,maximale,nulle,0,3.8,23,0.24295793654399148,0.06741218933499155,312.79383333333334,336.2196666666667,23.425833333333323,1580.2509452409313,0.2,0.15,0.5837669094693028,0.6600806451612903,0.6457286432160804,0.7256461232604374,0.6032315978456014,0.6096822995461422,24.8,28.83,16.37,8.43,4.773713383368773,0.03172642574829589,0.17343399983098995,1,45.24
16,maximale,nulle,0,3.8,23,0.23076428556320905,0.07061560763941677,121.49858333333333,144.1685,22.669916666666662,1487.621696076792,0.07,0.07,0.45144628099173556,0.5231624459542927,0.5314685314685315,0.6037735849056604,0.5886524822695035,0.43564356435643564,16.19,19.36,8.47,7.72,2.686376910694034,0.021411622525931918,0.21669329764440262,1,45.25
17,maximale,nulle,0,3.8,23,0.2444010734378056,0.08610177610906604,273.74016666666665,320.1364166666667,46.39625000000001,1365.280147229609,0.18,0.23,0.5542385057471264,0.6187405159332322,0.6070038910505836,0.6901408450704225,0.594059405940594,0.5625,26.36,27.84,16.31,10.05,4.053135632459314,0.026187880232026943,0.21022268770186137,1,44.55
18,maximale,nulle,0,3.8,23,0.2266028745495921,0.08425557783947589,119.63383333333333,118.5605,-1.0733333333333348,844.8839844394361,0.05,0.05,0.45405982905982906,0.49045424621461486,0.5263157894736842,0.5833333333333334,0.5467625899280576,0.42857142857142855,15.19,18.72,7.45,7.74,2.5145832142345506,0.016622712723348993,0.24315157210774035,1,44.83
19,maximale,nulle,0,3.8,23,0.2328258310211694,0.061673122602646915,259.1563333333333,327.9481666666667,68.79183333333334,1406.4433115536885,0.17,0.25,0.5285419532324622,0.6065690824705462,0.5807086614173228,0.6829679595278246,0.5356265356265356,0.498046875,28.01,29.08,16.99,11.02,4.470614209242624,0.03837331651397278,0.24232101865213537,1,44.43
20,maximale,nulle,0,3.8,23,0.2355988305600809,0.07069358584757357,174.11750000000004,203.57616666666664,29.45866666666667,1726.2801675540925,0.09,0.12,0.4618850920015021,0.5276315789473685,0.5481727574750831,0.5824915824915825,0.5601851851851852,0.48243559718969553,22.8,26.63,12.03,10.77,4.19578963003949,0.027696356433113925,0.2681555849274813,1,44.01
21,maximale,nulle,0,3.8,23,0.25227972507862134,0.07302743778838594,297.23266666666666,330.7953333333333,33.562666666666665,1537.1429914418468,0.22,0.25,0.5592193808882907,0.6138255519363012,0.5972850678733032,0.7055655296229802,0.6461538461538462,0.6324921135646687,27.63,29.72,16.96,10.67,4.525787860564698,0.04217464202185784,0.25624337634553823,1,43.49
22,maximale,nulle,0,3.8,23,0.2524995209920999,0.07601098513496637,130.36141666666668,159.00716666666668,28.64575,1778.7590815269793,0.07,0.1,0.43989314336598395,0.5121951219512195,0.5342960288808665,0.5967741935483871,0.5175879396984925,0.4819672131147541,18.86,22.46,9.66,9.2,3.2878721332639382,0.027886847023532623,0.24353148987078627,1,42.32
23,maximale,nulle,0,3.8,23,0.24552886560026196,0.06731242180138174,249.49991666666668,304.4386666666667,54.93875,2041.0542581380473,0.11,0.16,0.5664882667764513,0.6382799325463744,0.6082474226804123,0.7418032786885246,0.5855513307984791,0.5956284153005464,23.72,24.29,15.14,8.58,3.9950255427930004,0.04426510394515723,0.1779247526745567,1,42.37
24,maximale,nulle,0,3.8,23,0.2689311417260321,0.06613674483283094,132.48766666666666,173.24466666666666,40.757,1004.0241251491691,0.06,0.17,0.44235924932975873,0.49065836298932386,0.5374149659863946,0.5575757575757576,0.6074766355140186,0.49444444444444446,22.48,22.38,11.03,11.45,3.9768623950467386,0.03439511337656148,0.3748730642646646,1,42.44
25,maximale,nulle,0,3.8,23,0.28652864629207664,0.06334439294769009,275.22416666666663,313.43649999999997,38.21233333333333,1975.976180732999,0.2,0.21,0.5419222903885481,0.6217798594847775,0.5909943714821764,0.6752767527675276,0.5219206680584552,0.5603305785123966,25.62,29.34,15.93,9.69,4.716614992309353,0.039844214613838344,0.19214648592053876,1,42.34
26,maximale,nulle,0,3.8,23,0.2920690600340131,0.07811536702173358,189.48391666666666,227.46141666666662,37.9775,1819.8752736961724,0.15,0.15,0.4702251270878722,0.5478519778817524,0.5792682926829268,0.6309859154929578,0.5260545905707196,0.4811529933481153,23.51,27.54,12.88,10.63,4.118558921563591,0.03436955815747083,0.30770304815983646,1,42.66
27,maximale,nulle,0,3.8,23,0.30014951495403275,0.07577004068535961,272.66591666666665,284.99566666666664,12.329750000000011,1956.0947041709242,0.2,0.17,0.5433125433125433,0.6081025217031831,0.6,0.713527851458886,0.5706371191135734,0.5734513274336284,24.19,28.86,14.71,9.48,3.9948371391777457,0.05113486529438525,0.25847328921458856,1,41.31
28,maximale,nulle,0,3.8,23,0.2722693894239195,0.07902318296529573,160.45375,183.07658333333333,22.622833333333332,1504.740087716587,0.1,0.04,0.4941972920696325,0.5586776859504132,0.59,0.6201550387596899,0.5668016194331984,0.5418060200668896,18.15,20.68,10.14,8.01,2.456801818687816,0.029380422152381538,0.27185419184396614,1,41.2
29,maximale,nulle,0,3.8,23,0.25279938361200766,0.07131872760895736,142.13583333333332,187.6663333333333,45.53049999999998,1102.457093070021,0.07,0.1,0.48026652998462327,0.5367428003972194,0.5388349514563107,0.6801801801801802,0.56,0.5377358490566038,20.14,19.51,10.81,9.33,3.0162144183759922,0.03228856090802402,0.19351973831999866,1,40.53
