generation,t_env,v_vie,n_inversions_vie,lambda_cout,graine,eta_moyen,eta_ecart_type,p_naif_moyen,p_libre_moyen,delta_p_moyen,fitness_max,survie_naif,survie_libre,discrimination_naif,discrimination_libre,discrim_tiers1_libre,discrim_tiers3_libre,discrim_tiers1_naif,discrim_tiers3_naif,repas_moyen_libre,repas_moyen_naif,nutritifs_moyen_libre,toxiques_moyen_libre,cout_apprentissage_moyen,derive_acquise_moyenne,derive_preference_moyenne,n_especes,complexite_moyenne
0,maximale,chaotique,29,0.0,22,0.512288148332697,0.28126972480673507,52.49208333333334,23.78083333333333,-28.711249999999996,354.875,0.02,0.0,0.5219047619047619,0.45692883895131087,nan,nan,0.6111111111111112,0.5454545454545454,2.67,5.25,1.22,1.45,1.0919644486914983,0.0034143454982667985,0.08714439206548477,1,48.0
1,maximale,chaotique,29,0.0,22,0.5089289402582251,0.16288449722334244,58.02158333333332,45.91375,-12.107833333333337,450.0,0.01,0.02,0.4897959183673469,0.4774774774774775,0.5428571428571428,0.2,0.5454545454545454,0.6111111111111112,5.55,6.86,2.65,2.9,2.9238629765001036,0.00935581337179515,0.13540735831287465,1,48.17
2,maximale,chaotique,29,0.0,22,0.5037721576292334,0.1519054624391673,84.90516666666664,75.00125,-9.903916666666667,760.0,0.04,0.05,0.49229287090558765,0.49278579356270813,0.6375,0.45555555555555555,0.6511627906976745,0.5,9.01,10.38,4.44,4.57,5.854136297416857,0.017029386932658305,0.17089343291281459,1,47.94
3,maximale,chaotique,29,0.0,22,0.5132626203354256,0.11686945046614435,125.07758333333335,88.79816666666667,-36.27941666666666,695.0,0.06,0.02,0.4920735573874445,0.48164335664335667,0.6551724137931034,0.4827586206896552,0.5,0.4528301886792453,11.44,15.77,5.51,5.93,8.406339116029187,0.021953716810872353,0.23418924999085283,1,48.14
4,maximale,chaotique,29,0.0,22,0.5277888350211954,0.07948388470785299,126.42241666666669,133.33933333333337,6.916916666666669,1070.0,0.07,0.04,0.48668280871670705,0.5154503616042078,0.5352112676056338,0.5789473684210527,0.5106382978723404,0.4727272727272727,15.21,16.52,7.84,7.37,11.508703648126765,0.0268055290571302,0.2182697007778618,1,48.22
5,maximale,chaotique,29,0.0,22,0.5408730391520836,0.07265157880987722,141.95383333333334,98.72608333333334,-43.22774999999999,730.0,0.07,0.06,0.5105231509320505,0.4865293185419968,0.6,0.4943820224719101,0.5291005291005291,0.5906040268456376,12.62,16.63,6.14,6.48,9.032203720316023,0.027501940395414235,0.252202180456561,1,47.88
6,maximale,chaotique,29,0.0,22,0.5307941023817362,0.07505830037342782,186.04633333333334,115.93308333333336,-70.11325,672.7333333333333,0.16,0.07,0.5048586572438163,0.4801819363222872,0.5567010309278351,0.4796747967479675,0.5362776025236593,0.49798387096774194,15.39,22.64,7.39,8.0,11.042789124102883,0.030324009890049512,0.23672096455870373,1,47.42
7,maximale,chaotique,29,0.0,22,0.5142528979010165,0.07041637139588522,123.75833333333334,106.48316666666668,-17.275166666666664,1085.0,0.06,0.05,0.4847001223990208,0.4900074019245004,0.5765765765765766,0.4634146341463415,0.5309734513274337,0.46706586826347307,13.51,16.34,6.62,6.89,10.02406633532721,0.024430900612159495,0.17450767888672739,1,47.89
8,maximale,chaotique,29,0.0,22,0.5237456632283102,0.07416647836933349,190.97625,132.60333333333335,-58.37291666666667,1055.0,0.14,0.09,0.4931174089068826,0.4845714285714286,0.5360824742268041,0.45588235294117646,0.5536912751677853,0.48853211009174313,17.5,24.7,8.48,9.02,12.197327061839731,0.03420023129037634,0.2501536419062856,1,47.06
9,maximale,chaotique,29,0.0,22,0.5230440857147893,0.08872812846978553,194.32016666666675,153.32058333333333,-40.999583333333334,1075.0,0.15,0.07,0.502495840266223,0.5045674368619022,0.5497076023391813,0.489010989010989,0.5662337662337662,0.5039370078740157,18.61,24.04,9.39,9.22,12.969561635802545,0.038148420003751224,0.21460872305250692,1,47.66
10,maximale,chaotique,29,0.0,22,0.5030517165601754,0.1091626537672522,231.41558333333333,173.33066666666664,-58.084916666666665,1010.0,0.17,0.1,0.5038354253835425,0.49259092950157163,0.5515695067264574,0.48412698412698413,0.5649867374005305,0.5321285140562249,22.27,28.68,10.97,11.3,13.45569004258899,0.037984603291874655,0.2646300767264298,1,47.45
11,maximale,chaotique,29,0.0,22,0.4749991415684637,0.08052276625915454,216.29741666666666,171.26008333333334,-45.03733333333333,1300.0,0.2,0.12,0.4934046345811052,0.4963133640552995,0.5223880597014925,0.543918918918919,0.5614849187935035,0.477112676056338,21.7,28.05,10.77,10.93,11.641829679612767,0.03610287759714248,0.25029671465644593,1,47.76
