generation,t_env,v_vie,n_inversions_vie,lambda_cout,graine,eta_moyen,eta_ecart_type,p_naif_moyen,p_libre_moyen,delta_p_moyen,fitness_max,survie_naif,survie_libre,discrimination_naif,discrimination_libre,discrim_tiers1_libre,discrim_tiers3_libre,discrim_tiers1_naif,discrim_tiers3_naif,repas_moyen_libre,repas_moyen_naif,nutritifs_moyen_libre,toxiques_moyen_libre,cout_apprentissage_moyen,derive_acquise_moyenne,derive_preference_moyenne,n_especes,complexite_moyenne
0,maximale,nulle,0,0.0,23,0.4699339602253839,0.3075238568624111,63.66033333333334,44.80016666666666,-18.860166666666665,568.0666666666667,0.03,0.0,0.564748201438849,0.5549738219895288,nan,nan,0.5897435897435898,0.6666666666666666,3.82,5.56,2.12,1.7,1.5399322467648546,0.006425122552622081,0.09343365481881483,1,48.0
1,maximale,nulle,0,0.0,23,0.4495399211695235,0.19097548275839604,61.533416666666675,76.38491666666665,14.851499999999998,1182.975,0.02,0.02,0.5088757396449705,0.5942028985507246,0.5416666666666666,0.4,0.5348837209302325,0.6,6.21,6.76,3.69,2.52,3.4422010280366617,0.018129817504881303,0.16172239817169146,1,47.92
2,maximale,nulle,0,0.0,23,0.39201553084244817,0.1380995099446062,73.42208333333333,69.20066666666666,-4.221416666666667,1007.5,0.03,0.02,0.5150753768844221,0.555205047318612,0.5454545454545454,0.45454545454545453,0.6078431372549019,0.41509433962264153,6.34,7.96,3.52,2.82,3.3819464726284125,0.016508575786870896,0.17906189409303344,1,47.59
3,maximale,nulle,0,0.0,23,0.4068604775024766,0.10326387369569902,46.91433333333333,74.39041666666667,27.476083333333335,1205.0,0.0,0.03,0.45625,0.5237483953786907,0.6428571428571429,0.6545454545454545,nan,nan,7.79,6.4,4.08,3.71,4.102494826527913,0.01555500400277203,0.19272804599560725,1,47.42
4,maximale,nulle,0,0.0,23,0.3966127590909263,0.09498051303834987,131.53283333333331,140.35283333333334,8.819999999999999,1910.0,0.1,0.07,0.5416359616801769,0.5935430463576159,0.624113475177305,0.689922480620155,0.6458333333333334,0.5774647887323944,12.08,13.57,7.17,4.91,6.667160208511451,0.028572522696259105,0.25207419697907935,1,47.05
5,maximale,nulle,0,0.0,23,0.41601031275702277,0.09912355113112627,130.3795,173.59733333333338,43.21783333333332,1195.0,0.03,0.13,0.4745762711864407,0.5566588785046729,0.562962962962963,0.6079136690647482,0.5483870967741935,0.4765625,17.12,18.29,9.53,7.59,11.48257425685352,0.03161327284657476,0.2553467944697403,1,47.11
6,maximale,nulle,0,0.0,23,0.3910455766629728,0.08200628599908003,235.65524999999997,324.08133333333336,88.42608333333335,1990.0,0.19,0.25,0.5453436356242375,0.6476112699060841,0.6716101694915254,0.7334558823529411,0.5835411471321695,0.6244343891402715,24.49,24.59,15.86,8.63,15.265997694339521,0.06706591751187016,0.3454738613945474,1,47.17
7,maximale,nulle,0,0.0,23,0.37865468355584964,0.06973925078367088,134.69475,173.30483333333333,38.610083333333336,945.0,0.1,0.16,0.47629310344827586,0.5387149917627677,0.5567765567765568,0.6278195488721805,0.5102040816326531,0.5077519379844961,18.21,18.56,9.81,8.4,9.957069158197266,0.03509869475796678,0.26932549967648933,1,46.86
8,maximale,nulle,0,0.0,23,0.3528626066811361,0.07647656745749126,242.5455,264.8988333333333,22.353333333333342,1315.0,0.16,0.18,0.5560574948665298,0.628978622327791,0.6445993031358885,0.6818181818181818,0.5652173913043478,0.5995370370370371,21.05,24.35,13.24,7.81,10.582210607131112,0.050718962457500814,0.32030331546009605,1,47.1
9,maximale,nulle,0,0.0,23,0.3446663161381253,0.0750951625411464,162.80724999999998,204.79300000000003,41.98574999999999,1188.025,0.07,0.14,0.48153153153153155,0.5672782874617737,0.5317460317460317,0.6942446043165468,0.6377952755905512,0.5227272727272727,19.62,22.2,11.13,8.49,9.510713578238427,0.037558342404229374,0.2610314665355305,1,47.01
10,maximale,nulle,0,0.0,23,0.3462729631161674,0.0761311213290564,188.19283333333334,220.44483333333335,32.251999999999995,1765.0,0.07,0.13,0.523320895522388,0.5896656534954408,0.6111111111111112,0.660377358490566,0.6106194690265486,0.5486381322957199,19.74,21.44,11.64,8.1,9.24348697121973,0.039072528496452624,0.29102499145031524,1,46.78
11,maximale,nulle,0,0.0,23,0.3708315349376246,0.09255388715143255,137.34641666666667,187.32925000000003,49.98283333333334,2100.0,0.03,0.05,0.4985473561882626,0.5830886670581327,0.6050420168067226,0.7100591715976331,0.5895522388059702,0.5490196078431373,17.03,17.21,9.93,7.1,7.368616171781252,0.03536041603273191,0.19684460897324585,1,45.7
12,maximale,nulle,0,0.0,23,0.33196364291839886,0.08370726113341004,216.30733333333336,275.40158333333335,59.09425,1830.0,0.11,0.16,0.5226904376012966,0.6012605042016806,0.6147058823529412,0.6975,0.5686274509803921,0.5655737704918032,23.8,24.68,14.31,9.49,9.629505062993498,0.05454487823780927,0.3251601890796799,1,45.72
13,maximale,nulle,0,0.0,23,0.3391518254985541,0.1033294920512047,156.03583333333333,205.93216666666663,49.896333333333324,1395.0,0.08,0.13,0.4871421639980592,0.5792811839323467,0.65625,0.6917293233082706,0.5925925925925926,0.4873096446700508,18.92,20.61,10.96,7.96,6.497508937421453,0.037371231634218426,0.28453197783352535,1,44.67
14,maximale,nulle,0,0.0,23,0.3368425988591581,0.11328472142233066,155.10558333333333,191.901,36.79541666666667,1055.0,0.06,0.07,0.4798311444652908,0.5702524698133918,0.5692307692307692,0.6810810810810811,0.5723684210526315,0.457286432160804,18.22,21.32,10.39,7.83,6.593389175426181,0.04446428567000064,0.30785915931511054,1,44.27
15,maximale,nulle,0,0.0,23,0.33929458786790806,0.09680100596196939,201.61916666666667,233.56225000000003,31.943083333333334,1770.0,0.12,0.13,0.516306649724693,0.599308300395257,0.6346153846153846,0.6868686868686869,0.5694444444444444,0.4971590909090909,20.24,23.61,12.13,8.11,7.033734070108494,0.03945449322698294,0.23348207187484588,1,44.48
16,maximale,nulle,0,0.0,23,0.32804557231048187,0.06712862243593055,210.22991666666664,240.34850000000003,30.11858333333333,1505.0,0.13,0.13,0.5271646859083192,0.5922284644194756,0.6278195488721805,0.726962457337884,0.6205128205128205,0.6140350877192983,21.36,23.56,12.65,8.71,6.491493986770285,0.05775050955627923,0.3398410740689178,1,43.72
17,maximale,nulle,0,0.0,23,0.29653373632176316,0.07167276214163606,180.33683333333335,231.2575,50.92066666666667,1655.0,0.07,0.11,0.4780371982588049,0.5587852494577007,0.6186770428015564,0.6241610738255033,0.5583756345177665,0.5033112582781457,23.05,25.27,12.88,10.17,6.787265017918702,0.043994610941867004,0.2586638015944713,1,44.8
18,maximale,nulle,0,0.0,23,0.30988001522392616,0.06884098165359595,226.76441666666662,233.28208333333333,6.517666666666673,1218.5916666666667,0.1,0.14,0.5457612821594264,0.5999008428358948,0.5894736842105263,0.6693877551020408,0.5714285714285714,0.5741324921135647,20.17,23.71,12.1,8.07,5.477413083380627,0.04187987170745053,0.2780034756938576,1,44.69
19,maximale,nulle,0,0.0,23,0.30093313149983986,0.07872375671454604,199.37399999999997,231.85374999999996,32.47975000000001,1355.0,0.12,0.16,0.508939708939709,0.5740486015589179,0.5764331210191083,0.5903614457831325,0.6283185840707964,0.6080246913580247,21.81,24.05,12.52,9.29,4.632805909661529,0.03382516437136076,0.2697098358474009,1,43.79
20,maximale,nulle,0,0.0,23,0.297738171360516,0.09015890654272661,182.97100000000003,163.65091666666666,-19.320083333333336,2318.858333333333,0.13,0.07,0.496369073045707,0.5647208121827412,0.5585585585585585,0.6721311475409836,0.4890710382513661,0.5255474452554745,15.76,23.41,8.9,6.86,3.349211467460543,0.028142938477637686,0.22297071021651818,1,43.21
21,maximale,nulle,0,0.0,23,0.28967964258396905,0.06886913234734426,157.11233333333334,174.35958333333335,17.247249999999998,1190.0,0.1,0.06,0.5039042165538782,0.5703030303030303,0.625,0.6057692307692307,0.6424870466321243,0.525,16.5,19.21,9.41,7.09,3.0301052227507053,0.02510248877334575,0.24124607405993626,1,42.84
22,maximale,nulle,0,0.0,23,0.3188071648752111,0.07240242937019098,216.84816666666663,254.87141666666668,38.023250000000004,1925.0,0.18,0.15,0.5171733122779313,0.6089385474860335,0.6387959866220736,0.7071005917159763,0.5566037735849056,0.5229885057471264,21.48,25.33,13.08,8.4,4.327573812990575,0.039231556292568116,0.2233327618358025,1,42.72
23,maximale,nulle,0,0.0,23,0.3181167046809985,0.07667950312958789,168.48916666666668,230.31483333333333,61.82566666666666,1680.0,0.05,0.13,0.4951411383618695,0.5871868978805395,0.6559766763848397,0.6855123674911661,0.6153846153846154,0.5202702702702703,20.76,21.61,12.19,8.57,3.9244918215109807,0.03131188019605818,0.31191574978601533,1,43.1
24,maximale,nulle,0,0.0,23,0.3196458004592113,0.07184816987023757,166.78691666666663,185.3345833333333,18.547666666666665,1495.0,0.05,0.11,0.4906264288980338,0.5676437429537767,0.5754716981132075,0.6638297872340425,0.6347826086956522,0.4603174603174603,17.74,21.87,10.07,7.67,3.2418077669058145,0.03170003125138535,0.2034277746914977,1,43.54
25,maximale,nulle,0,0.0,23,0.29279256362240536,0.07916781822194105,226.796,273.05474999999996,46.25875,1685.0,0.14,0.16,0.5181268882175226,0.6148767605633803,0.6769759450171822,0.7063492063492064,0.5900621118012422,0.5349344978165939,22.72,26.48,13.97,8.75,3.4386388916479205,0.0342523542864323,0.2785243740511002,1,42.96
26,maximale,nulle,0,0.0,23,0.27579340125189156,0.08355108621120921,191.05133333333336,219.54699999999997,28.495666666666665,1230.0,0.09,0.16,0.495114006514658,0.5678368121442126,0.6220735785953178,0.6513761467889908,0.5754189944134078,0.5527272727272727,21.08,24.56,11.97,9.11,3.1768197926787884,0.023235987896043166,0.20927121105280203,1,44.19
