generation,t_env,v_vie,n_inversions_vie,lambda_cout,graine,eta_moyen,eta_ecart_type,p_naif_moyen,p_libre_moyen,delta_p_moyen,fitness_max,survie_naif,survie_libre,discrimination_naif,discrimination_libre,discrim_tiers1_libre,discrim_tiers3_libre,discrim_tiers1_naif,discrim_tiers3_naif,repas_moyen_libre,repas_moyen_naif,nutritifs_moyen_libre,toxiques_moyen_libre,cout_apprentissage_moyen,derive_acquise_moyenne,derive_preference_moyenne,n_especes,complexite_moyenne
0,stable,nulle,0,0.0,23,0.5043863488352226,0.2799836334355717,70.22783333333332,78.41633333333333,8.188499999999996,1075.0,0.03,0.03,0.5619047619047619,0.6298245614035087,0.6037735849056604,0.7540983606557377,0.64,0.6585365853658537,5.7,6.3,3.59,2.11,2.5248574442194855,0.008118264551365951,0.13312012273414534,1,48.0
1,stable,nulle,0,0.0,23,0.49070468821020297,0.15436441823764585,69.316,130.46333333333334,61.147333333333336,955.0,0.02,0.04,0.5084525357607282,0.6236345580933466,0.6415094339622641,0.7352941176470589,0.5652173913043478,0.6363636363636364,10.07,7.69,6.28,3.79,5.251074869671095,0.02105552348083666,0.1936954613269936,1,47.88
2,stable,nulle,0,0.0,23,0.4761589673246609,0.12075812974717073,137.5155,140.50799999999998,2.992499999999999,1795.0,0.08,0.07,0.5910623946037099,0.6456310679611651,0.6597938144329897,0.7476635514018691,0.7142857142857143,0.6333333333333333,10.3,11.86,6.65,3.65,6.5018383254704535,0.028834256901234583,0.17922299353872753,1,47.91
3,stable,nulle,0,0.0,23,0.4525553739130848,0.09451592232168489,182.25641666666667,199.74533333333332,17.48891666666667,1215.0,0.09,0.12,0.5956770502225047,0.6756168359941945,0.68,0.7557603686635944,0.5533333333333333,0.6594202898550725,13.78,15.73,9.31,4.47,8.82157923639756,0.03676003328970763,0.19254042881510802,1,47.6
4,stable,nulle,0,0.0,23,0.389298820906283,0.0723770172323683,191.97591666666668,229.85283333333334,37.87691666666667,1325.0,0.09,0.18,0.5841526894158473,0.6857326478149101,0.7212543554006968,0.7420382165605095,0.6375,0.6023622047244095,15.56,17.29,10.67,4.89,8.401225041811184,0.0418959811690819,0.18333160616085042,1,47.05
5,stable,nulle,0,0.0,23,0.35898835900162107,0.069375078909696,264.7075833333334,286.6981666666667,21.990583333333337,1490.0,0.18,0.22,0.6335914811229428,0.6978341257263603,0.688622754491018,0.7539267015706806,0.6728971962616822,0.6683937823834197,18.93,20.66,13.21,5.72,10.007072891260043,0.04976008822094639,0.1855957743428355,1,46.79
6,stable,nulle,0,0.0,23,0.357654737436529,0.07261599291354993,289.8773333333333,309.22591666666665,19.348583333333337,1320.0,0.23,0.18,0.6233433091064557,0.6892278360343184,0.6678571428571428,0.7393483709273183,0.6596306068601583,0.6790890269151139,20.98,23.39,14.46,6.52,11.045819206642244,0.05680074909245118,0.16674062816270138,1,46.36
7,stable,nulle,0,0.0,23,0.36004419439939406,0.06376026634300293,310.22058333333337,343.3789166666666,33.158333333333346,1517.45,0.24,0.26,0.6365894039735099,0.6983779044278825,0.6745843230403801,0.7244258872651357,0.6699029126213593,0.6589698046181173,22.81,24.16,15.93,6.88,13.045390677422638,0.06898533105827626,0.19608115537418055,1,46.48
8,stable,nulle,0,0.0,23,0.3910908291933381,0.06548911437806676,347.7461666666667,406.2030833333333,58.456916666666665,1470.0,0.28,0.33,0.6267000715819614,0.7111872146118722,0.6818181818181818,0.7573770491803279,0.6420047732696897,0.6866141732283465,26.28,27.94,18.69,7.59,15.19621056873116,0.09322460644646138,0.2298005243597065,1,46.36
9,stable,nulle,0,0.0,23,0.4020314083289512,0.06686485250403212,357.5900833333333,395.67775,38.08766666666667,1850.0,0.3,0.33,0.6390895953757225,0.7192982456140351,0.6869070208728653,0.7625418060200669,0.6644444444444444,0.6722817764165391,25.08,27.68,18.04,7.04,12.870939757105793,0.0824636032909977,0.20360615881545943,1,45.54
