generation,t_env,v_vie,n_inversions_vie,lambda_cout,graine,eta_moyen,eta_ecart_type,p_naif_moyen,p_libre_moyen,delta_p_moyen,fitness_max,survie_naif,survie_libre,discrimination_naif,discrimination_libre,discrim_tiers1_libre,discrim_tiers3_libre,discrim_tiers1_naif,discrim_tiers3_naif,repas_moyen_libre,repas_moyen_naif,nutritifs_moyen_libre,toxiques_moyen_libre,cout_apprentissage_moyen,derive_acquise_moyenne,derive_preference_moyenne,n_especes,complexite_moyenne
0,maximale,chaotique,29,0.0,22,0.5004079011963135,0.2818402368578506,41.21724999999999,20.23925,-20.977999999999998,183.31666666666666,0.03,0.0,0.5203045685279187,0.4485981308411215,nan,nan,0.6451612903225806,0.3888888888888889,2.14,3.94,0.96,1.18,0.6945912666431243,0.002387271366978802,0.08954220744616981,1,48.0
1,maximale,chaotique,29,0.0,22,0.4005738202800771,0.20377612870713446,63.684000000000005,41.21466666666666,-22.46933333333334,987.2916666666666,0.01,0.0,0.4722222222222222,0.5023041474654378,nan,nan,0.7,0.6521739130434783,4.34,8.28,2.18,2.16,1.9616431529074438,0.006565035364273819,0.08981446080427313,1,48.01
2,maximale,chaotique,29,0.0,22,0.3604247844618424,0.14355920275632475,101.05008333333335,67.48325,-33.566833333333335,923.575,0.03,0.02,0.5311909262759924,0.4838709677419355,0.631578947368421,0.5135135135135135,0.5806451612903226,0.5205479452054794,8.37,10.58,4.05,4.32,3.3798322585270375,0.008957868608441374,0.14050755347478303,1,47.8
3,maximale,chaotique,29,0.0,22,0.39222288314169584,0.1439755419137559,93.47116666666669,92.38525,-1.0859166666666644,1100.0,0.02,0.04,0.4973309608540925,0.49466192170818507,0.5375,0.5740740740740741,0.6818181818181818,0.5263157894736842,11.24,11.24,5.56,5.68,5.100721566669611,0.011732097323996948,0.1588486576470844,1,48.06
4,maximale,chaotique,29,0.0,22,0.33127425305836894,0.10426726884445031,127.47408333333333,122.93999999999998,-4.534083333333334,755.0,0.09,0.07,0.4961832061068702,0.5087473757872638,0.5736434108527132,0.5405405405405406,0.5503355704697986,0.5088757396449705,14.29,15.72,7.27,7.02,6.496401396534026,0.015125034229395855,0.16721360566502153,1,48.22
5,maximale,chaotique,29,0.0,22,0.32295270723823044,0.11382220698475884,119.25341666666667,115.88658333333333,-3.3668333333333305,1065.0,0.06,0.06,0.4949562878278413,0.517774343122102,0.5384615384615384,0.5581395348837209,0.5324675324675324,0.5391304347826087,12.94,14.87,6.7,6.24,5.579233647470827,0.015379602741466743,0.1579100094178162,1,47.8
6,maximale,chaotique,29,0.0,22,0.28273728337789683,0.10293619262228713,152.48408333333333,115.38316666666668,-37.10091666666667,543.0833333333334,0.1,0.07,0.49280575539568344,0.48845108695652173,0.5271317829457365,0.5294117647058824,0.49282296650717705,0.5301724137931034,14.72,19.46,7.19,7.53,5.783306982292165,0.01465633626871389,0.16407704291560404,1,47.5
7,maximale,chaotique,29,0.0,22,0.27556727469933223,0.11031511542792262,160.94658333333334,170.77025,9.823666666666666,1210.0,0.13,0.15,0.49270428015564205,0.5055744062045565,0.5878378378378378,0.5090439276485789,0.5165289256198347,0.5033557046979866,20.63,20.56,10.43,10.2,6.7684645187582895,0.01256485244051045,0.16386070184727491,1,48.15
8,maximale,chaotique,29,0.0,22,0.24596391837359158,0.09394658945785792,173.01958333333332,129.36491666666666,-43.65466666666666,804.475,0.13,0.07,0.5076997112608277,0.49209245742092456,0.5,0.45689655172413796,0.4833948339483395,0.48427672955974843,16.44,20.78,8.09,8.35,4.922088934648351,0.013452698539324917,0.14849783857603663,1,47.97
9,maximale,chaotique,29,0.0,22,0.24830432505748715,0.09862052830834614,204.61399999999998,164.59650000000002,-40.01750000000001,865.0,0.17,0.09,0.5186915887850467,0.5060422960725075,0.5454545454545454,0.5102040816326531,0.5878787878787879,0.5101214574898786,19.86,23.54,10.05,9.81,5.99620618210024,0.015066424950963563,0.16842579485933698,1,47.88
