generation,t_env,v_vie,n_inversions_vie,lambda_cout,graine,eta_moyen,eta_ecart_type,p_naif_moyen,p_libre_moyen,delta_p_moyen,fitness_max,survie_naif,survie_libre,discrimination_naif,discrimination_libre,discrim_tiers1_libre,discrim_tiers3_libre,discrim_tiers1_naif,discrim_tiers3_naif,repas_moyen_libre,repas_moyen_naif,nutritifs_moyen_libre,toxiques_moyen_libre,cout_apprentissage_moyen,derive_acquise_moyenne,derive_preference_moyenne,n_especes,complexite_moyenne
0,maximale,lente,1,0.0,22,0.47388365446061653,0.2736100932553771,47.53766666666667,42.19958333333332,-5.338083333333333,537.0916666666667,0.01,0.0,0.5333333333333333,0.5689149560117303,nan,nan,0.7692307692307693,0.35714285714285715,3.41,4.5,1.94,1.47,1.6978799707791046,0.006286543049875153,0.10657652075634844,1,48.0
1,maximale,lente,1,0.0,22,0.5401283982519476,0.17460015536525555,80.53333333333333,78.85233333333333,-1.681,785.0,0.02,0.01,0.5148741418764302,0.5962145110410094,1.0,0.875,0.5555555555555556,0.38461538461538464,6.34,8.74,3.78,2.56,3.850233848979516,0.011985370552750462,0.17193129522081854,1,48.07
2,maximale,lente,1,0.0,22,0.5642107889117731,0.1119430697465369,100.57141666666668,91.26558333333332,-9.305833333333332,588.9916666666667,0.03,0.01,0.5510835913312694,0.5964912280701754,0.6875,0.5454545454545454,0.8723404255319149,0.35185185185185186,7.41,9.69,4.42,2.99,4.959628332423385,0.015397498260673763,0.19280403127584825,1,47.97
3,maximale,lente,1,0.0,22,0.5503284503958625,0.0941549141330303,105.92808333333332,127.94999999999999,22.02191666666667,979.9583333333334,0.02,0.04,0.5786096256684492,0.6376050420168067,0.7931034482758621,0.52,0.6578947368421053,0.4411764705882353,9.52,9.35,6.07,3.45,6.003789784290087,0.019078691667331074,0.18169487846740354,1,48.25
4,maximale,lente,1,0.0,22,0.526889711583071,0.09989827969149351,175.02433333333332,167.07775,-7.946583333333334,850.0,0.07,0.04,0.533794571580628,0.6123348017621145,0.7910447761194029,0.4375,0.6397058823529411,0.42487046632124353,13.62,18.79,8.34,5.28,8.839321383166007,0.02616592055180557,0.25891381908953187,1,48.75
5,maximale,lente,1,0.0,22,0.5154183233926246,0.09294743471818324,175.93766666666662,172.96441666666666,-2.9732500000000006,792.375,0.04,0.03,0.5405552531301034,0.6074438202247191,0.6862745098039216,0.38,0.5568181818181818,0.5071428571428571,14.24,18.37,8.65,5.59,9.61577237720896,0.026742855856511524,0.27003683000841144,1,49.21
6,maximale,lente,1,0.0,22,0.4987953505503061,0.06745663897444644,181.75558333333333,164.7285833333333,-17.027000000000008,745.0,0.07,0.03,0.5342185903983657,0.6,0.7164179104477612,0.6111111111111112,0.6129032258064516,0.4339622641509434,13.95,19.58,8.37,5.58,8.938569273513384,0.026511767246042078,0.2519326201679062,1,48.18
7,maximale,lente,1,0.0,22,0.510755187492377,0.07211293635146351,185.9908333333333,177.71874999999997,-8.272083333333333,882.6416666666667,0.07,0.04,0.5062222222222222,0.6135265700483091,0.6170212765957447,0.5897435897435898,0.6051502145922747,0.4122448979591837,14.49,22.5,8.89,5.6,9.393413444206244,0.03255816907702013,0.24206735990867315,1,48.32
8,maximale,lente,1,0.0,22,0.5131798116613407,0.06707172353067208,203.42316666666673,204.54216666666667,1.1190000000000009,940.0,0.08,0.08,0.5240594925634295,0.5960339943342776,0.7868852459016393,0.5416666666666666,0.6363636363636364,0.38636363636363635,17.65,22.86,10.52,7.13,10.034353506609719,0.03767564732360616,0.29833050746022194,1,46.56
9,maximale,lente,1,0.0,22,0.49797867296469017,0.06159188533141421,205.89958333333337,220.60541666666668,14.705833333333333,922.8166666666667,0.04,0.04,0.5295414462081128,0.6242873432155074,0.7894736842105263,0.4146341463414634,0.6666666666666666,0.43548387096774194,17.54,22.68,10.95,6.59,10.043201226670467,0.03951379818349268,0.2877255207827429,1,46.91
