generation,t_env,v_vie,n_inversions_vie,lambda_cout,graine,eta_moyen,eta_ecart_type,p_naif_moyen,p_libre_moyen,delta_p_moyen,fitness_max,survie_naif,survie_libre,discrimination_naif,discrimination_libre,discrim_tiers1_libre,discrim_tiers3_libre,discrim_tiers1_naif,discrim_tiers3_naif,repas_moyen_libre,repas_moyen_naif,nutritifs_moyen_libre,toxiques_moyen_libre,cout_apprentissage_moyen,derive_acquise_moyenne,derive_preference_moyenne,n_especes,complexite_moyenne
0,maximale,moderee,3,0.0,22,0.5550072586322706,0.28056235635554216,29.295416666666664,34.83308333333333,5.537666666666666,414.03333333333336,0.01,0.0,0.4576271186440678,0.49859154929577465,nan,nan,0.4583333333333333,0.6153846153846154,3.55,3.54,1.77,1.78,1.9253274820865502,0.005265462334245934,0.12957977137141738,1,48.0
1,maximale,moderee,3,0.0,22,0.621329002460526,0.1940353988881082,86.30916666666666,61.39558333333333,-24.91358333333333,530.0,0.02,0.02,0.5233441910966341,0.5257234726688103,0.7,0.5,0.6,0.3225806451612903,6.22,9.21,3.27,2.95,4.417788597837486,0.013512250696061854,0.23587922803231354,1,47.94
2,maximale,moderee,3,0.0,22,0.6755984970810229,0.12545283393494205,74.08166666666666,59.21150000000001,-14.870166666666664,297.56666666666666,0.02,0.0,0.4911111111111111,0.5162337662337663,nan,nan,0.6153846153846154,0.4583333333333333,6.16,9.0,3.18,2.98,5.049473698284766,0.014981871233781932,0.26123875092427834,1,47.93
3,maximale,moderee,3,0.0,22,0.6445196036359004,0.09107055499305855,110.64216666666665,88.66975000000001,-21.972416666666668,760.0,0.07,0.02,0.5022590361445783,0.5331125827814569,0.7741935483870968,0.5641025641025641,0.5777777777777777,0.4407894736842105,9.06,13.28,4.83,4.23,7.906362412014269,0.026843845090793995,0.3144799666553845,1,48.42
4,maximale,moderee,3,0.0,22,0.6395433724275582,0.06676777867471606,163.05183333333332,126.20683333333336,-36.845000000000006,745.0,0.09,0.04,0.498046875,0.5369946605644547,0.6206896551724138,0.5070422535211268,0.5164319248826291,0.5151515151515151,13.11,20.48,7.04,6.07,12.715809743734878,0.0336370512885714,0.378082039591191,1,48.43
5,maximale,moderee,3,0.0,22,0.6410127906305011,0.08322706900148699,216.32575,124.54466666666669,-91.78108333333331,717.3583333333333,0.18,0.07,0.5094122166730696,0.505464480874317,0.5785123966942148,0.47540983606557374,0.5417607223476298,0.48936170212765956,14.64,26.03,7.4,7.24,14.355499719346392,0.03366644393627487,0.40319231020076024,1,48.6
6,maximale,moderee,3,0.0,22,0.6601588987500017,0.09964885058337764,196.232,133.76799999999997,-62.464000000000006,765.0,0.13,0.07,0.5157756354075372,0.5286312849162011,0.7534246575342466,0.53125,0.5661764705882353,0.49411764705882355,14.32,22.82,7.57,6.75,13.517534172504538,0.03815847585530392,0.3818185396697554,1,47.62
7,maximale,moderee,3,0.0,22,0.6607006393935225,0.07472657609125535,189.125,144.16691666666665,-44.958083333333335,980.0,0.13,0.03,0.504757785467128,0.5271218889597958,0.7066666666666667,0.5,0.5741444866920152,0.4444444444444444,15.67,23.12,8.26,7.41,13.021319109918934,0.03859451106100904,0.43167334936943397,1,47.45
8,maximale,moderee,3,0.0,22,0.6651132173096163,0.0914157258911479,169.39158333333333,128.45616666666666,-40.93541666666667,785.0,0.13,0.05,0.4870304114490161,0.5367316341829086,0.6133333333333333,0.4918032786885246,0.5649122807017544,0.46325878594249204,13.34,22.36,7.16,6.18,10.767619131764777,0.031906832388679474,0.38771263133086464,1,47.47
9,maximale,moderee,3,0.0,22,0.6613449376705048,0.07955283384377669,174.262,110.57908333333333,-63.68291666666667,659.3416666666667,0.12,0.0,0.48444823178525775,0.5235732009925558,nan,nan,0.5823293172690763,0.4533029612756264,12.09,23.47,6.33,5.76,9.92851916373922,0.032579693812595255,0.3784948350752238,1,46.7
