generation,t_env,v_vie,n_inversions_vie,lambda_cout,graine,eta_moyen,eta_ecart_type,p_naif_moyen,p_libre_moyen,delta_p_moyen,fitness_max,survie_naif,survie_libre,discrimination_naif,discrimination_libre,discrim_tiers1_libre,discrim_tiers3_libre,discrim_tiers1_naif,discrim_tiers3_naif,repas_moyen_libre,repas_moyen_naif,nutritifs_moyen_libre,toxiques_moyen_libre,cout_apprentissage_moyen,derive_acquise_moyenne,derive_preference_moyenne,n_especes,complexite_moyenne
0,maximale,nulle,0,0.0,23,0.5067557921948004,0.31119850607757504,51.339000000000006,44.52016666666665,-6.818833333333336,640.8083333333333,0.02,0.0,0.5267326732673268,0.5352798053527981,nan,nan,0.7142857142857143,0.7142857142857143,4.11,5.05,2.2,1.91,1.9902521978077181,0.009137078314068415,0.12255589219543203,1,48.0
1,maximale,nulle,0,0.0,23,0.5329970442703058,0.21102776544683757,53.831583333333334,56.87700000000001,3.045416666666666,605.3333333333334,0.02,0.02,0.4817629179331307,0.5346715328467153,0.8,0.65,0.8421052631578947,0.5925925925925926,5.48,6.58,2.93,2.55,3.4017049966217665,0.012611300531807208,0.21880502458432896,1,47.86
2,maximale,nulle,0,0.0,23,0.6073614215462454,0.1718243896089086,108.33566666666667,104.53091666666668,-3.8047500000000043,1243.6,0.06,0.04,0.5606653620352251,0.6066350710900474,0.6551724137931034,0.6730769230769231,0.6036036036036037,0.5983606557377049,8.44,10.22,5.12,3.32,6.7672345837745445,0.024932236530724364,0.23961564807409372,1,47.81
3,maximale,nulle,0,0.0,23,0.5696174829523458,0.1402015798094187,74.122,90.34225,16.220250000000007,873.9916666666667,0.02,0.03,0.46601941747572817,0.5545243619489559,0.6904761904761905,0.5769230769230769,0.5,0.6101694915254238,8.62,10.3,4.78,3.84,7.300870495664288,0.024758011723304548,0.28711066236521016,1,47.42
4,maximale,nulle,0,0.0,23,0.5714642025706419,0.12555742444902904,208.19258333333335,251.09358333333333,42.901,1340.0,0.18,0.18,0.5372866127583109,0.6174890083048363,0.6327868852459017,0.647887323943662,0.6063492063492063,0.6015228426395939,20.47,22.26,12.64,7.83,16.48353262875356,0.05386501042890953,0.3913220848781485,1,46.75
5,maximale,nulle,0,0.0,23,0.5295469117916064,0.10327922139669729,203.80700000000002,195.9543333333333,-7.852666666666664,1500.0,0.15,0.12,0.49845081332300545,0.5641160949868074,0.5528455284552846,0.5887445887445888,0.5623268698060941,0.5257142857142857,18.95,25.82,10.69,8.26,15.067360283450853,0.047015625268818646,0.45970084431102776,1,46.64
6,maximale,nulle,0,0.0,23,0.5327898517722899,0.08368131081487,245.10166666666663,254.68916666666664,9.587499999999999,1595.0,0.14,0.16,0.5653266331658291,0.6407766990291263,0.6254071661237784,0.7082152974504249,0.5951557093425606,0.5855614973262032,19.57,23.88,12.54,7.03,16.549194613596597,0.0720395054703024,0.33029064817049936,1,46.48
7,maximale,nulle,0,0.0,23,0.5664916811660139,0.08921853574218631,155.84241666666668,208.14916666666667,52.30675,1390.0,0.09,0.15,0.44801883091408395,0.5514461830251304,0.605072463768116,0.6543624161073825,0.5769230769230769,0.4778481012658228,21.09,25.49,11.63,9.46,16.39126979307628,0.06093551505343861,0.5298865439520933,1,46.54
8,maximale,nulle,0,0.0,23,0.5823798120593028,0.07256889433496433,280.2866666666667,302.50766666666664,22.221,1085.0,0.2,0.25,0.5710545998504114,0.6347457627118644,0.6146341463414634,0.6971830985915493,0.5972972972972973,0.6334586466165414,23.6,26.74,14.98,8.62,17.018882301482478,0.08261165853662797,0.4078840539666213,1,46.18
9,maximale,nulle,0,0.0,23,0.6111359734859709,0.08120128463064001,220.43908333333331,243.70208333333335,23.263000000000005,1620.0,0.14,0.15,0.47133956386292836,0.5697125697125697,0.5795795795795796,0.6211699164345403,0.5086206896551724,0.46994535519125685,23.31,32.1,13.28,10.03,19.13269662581629,0.08234421908040511,0.5341442621027072,1,46.49
10,maximale,nulle,0,0.0,23,0.6152320894050074,0.08786831368073937,315.8544166666667,361.1935833333334,45.339166666666664,1500.0,0.25,0.25,0.5336206896551724,0.6238907849829352,0.6260869565217392,0.692063492063492,0.5802469135802469,0.5543905635648755,29.3,34.8,18.28,11.02,21.89772411279262,0.1047334629930157,0.5032857414770974,1,44.78
11,maximale,nulle,0,0.0,23,0.6348190271884947,0.10455280272893679,209.48425,244.43550000000002,34.95125,1380.0,0.12,0.13,0.4862190812720848,0.5755333043099695,0.5688405797101449,0.633423180592992,0.5247524752475248,0.5088888888888888,22.97,28.3,13.22,9.75,19.296803191153934,0.09975196316834695,0.4965473369359886,1,44.89
12,maximale,nulle,0,0.0,23,0.6272827818960319,0.08409003927644297,241.8846666666666,280.6446666666667,38.75999999999999,1385.0,0.16,0.18,0.551473556721841,0.6322930800542741,0.6234939759036144,0.6838235294117647,0.5581395348837209,0.5829493087557603,22.11,24.77,13.98,8.13,15.62378638914081,0.09914624178981281,0.4191441208478178,1,44.08
13,maximale,nulle,0,0.0,23,0.6164378076137382,0.0711346280636369,183.14858333333333,237.06708333333336,53.9185,1235.0,0.11,0.16,0.47308132875143183,0.5671641791044776,0.5830388692579506,0.6498422712933754,0.5874439461883408,0.49868073878627966,22.78,26.19,12.92,9.86,15.61568752090033,0.0855674290999693,0.5399701973425607,1,44.4
14,maximale,nulle,0,0.0,23,0.6382471625264978,0.0827489478586806,282.20775000000003,323.35524999999996,41.147499999999994,1680.0,0.2,0.21,0.5368078175895765,0.6329808068938504,0.6649076517150396,0.6748166259168704,0.6022727272727273,0.5335515548281505,25.53,30.7,16.16,9.37,16.816469511061555,0.11934804199588331,0.4571469209460992,1,44.85
15,maximale,nulle,0,0.0,23,0.6302517662136764,0.057460306999945074,195.82591666666664,243.01333333333332,47.18741666666667,1284.1333333333334,0.08,0.18,0.4816326530612245,0.5647756138865369,0.608433734939759,0.6141975308641975,0.5664739884393064,0.5992647058823529,23.62,26.95,13.34,10.28,14.716235435397508,0.08690704001862408,0.5604400579867166,1,45.48
