generation,t_env,v_vie,n_inversions_vie,lambda_cout,graine,eta_moyen,eta_ecart_type,p_naif_moyen,p_libre_moyen,delta_p_moyen,fitness_max,survie_naif,survie_libre,discrimination_naif,discrimination_libre,discrim_tiers1_libre,discrim_tiers3_libre,discrim_tiers1_naif,discrim_tiers3_naif,repas_moyen_libre,repas_moyen_naif,nutritifs_moyen_libre,toxiques_moyen_libre,cout_apprentissage_moyen,derive_acquise_moyenne,derive_preference_moyenne,n_especes,complexite_moyenne
0,maximale,rapide,9,0.0,22,0.4591258145299858,0.2811244068900073,41.61000000000001,49.54783333333334,7.937833333333334,906.9166666666666,0.0,0.01,0.4842105263157895,0.5406593406593406,0.5555555555555556,0.5263157894736842,nan,nan,4.55,4.75,2.46,2.09,1.9149063479739374,0.0050416535118068696,0.09250438046403563,1,48.0
1,maximale,rapide,9,0.0,22,0.42155106657823543,0.24899539433740386,82.89541666666666,63.90208333333332,-18.993333333333336,845.0,0.0,0.04,0.5141921397379913,0.5027855153203342,0.6615384615384615,0.44,nan,nan,7.18,9.16,3.61,3.57,2.895018336987897,0.009123628187792339,0.13953335669299077,1,47.73
2,maximale,rapide,9,0.0,22,0.4397677903721774,0.18611678015973865,112.65466666666666,66.19975,-46.45491666666667,847.2083333333334,0.09,0.03,0.5003690036900369,0.47344110854503463,0.5681818181818182,0.5294117647058824,0.4878048780487805,0.5512820512820513,8.66,13.55,4.1,4.56,4.4425793148465536,0.011071418760241354,0.15443401739462964,1,47.58
3,maximale,rapide,9,0.0,22,0.3568829029478932,0.11908032085005955,118.53550000000003,110.46791666666667,-8.067583333333335,841.475,0.08,0.05,0.4916833000665336,0.5069337442218799,0.5633802816901409,0.5136986301369864,0.5885714285714285,0.5026737967914439,12.98,15.03,6.58,6.4,6.597855760352154,0.015539544774467527,0.16161084535936024,1,47.62
4,maximale,rapide,9,0.0,22,0.3224157444759869,0.0806754752825533,152.20591666666667,156.92333333333332,4.717416666666669,1025.0,0.12,0.11,0.49711286089238843,0.5175879396984925,0.5145631067961165,0.6036036036036037,0.496,0.5044776119402985,17.91,19.05,9.27,8.64,7.821254326291782,0.019533181185003346,0.18941369715449036,1,47.81
5,maximale,rapide,9,0.0,22,0.3305816537136881,0.11653282460663497,155.95833333333331,144.77416666666667,-11.184166666666663,915.0,0.09,0.12,0.5020964360587002,0.49722222222222223,0.5148514851485149,0.5358490566037736,0.5777777777777777,0.5539568345323741,18.0,19.08,8.95,9.05,6.991681111983277,0.016306450143988037,0.16962267269016695,1,47.31
6,maximale,rapide,9,0.0,22,0.28845766350872426,0.10377428032462958,174.9850833333333,167.09066666666666,-7.894416666666675,1235.0,0.1,0.15,0.5068622811168955,0.5049407114624506,0.5953307392996109,0.5333333333333333,0.4897959183673469,0.519163763066202,20.24,21.13,10.22,10.02,7.8097349507131035,0.017844152087895776,0.18050002301671145,1,47.71
7,maximale,rapide,9,0.0,22,0.2569402895104,0.08059657838783241,163.05308333333332,146.38558333333333,-16.667500000000004,895.0,0.1,0.08,0.48944157672454247,0.4874869655891554,0.5,0.4576923076923077,0.4838709677419355,0.5370370370370371,19.18,21.31,9.35,9.83,6.468167354288373,0.017678902527764516,0.18216015553737122,1,47.68
8,maximale,rapide,9,0.0,22,0.23772883808729683,0.06140209382150693,189.81416666666667,179.17858333333336,-10.635583333333344,890.0,0.08,0.12,0.49328995526636843,0.49843958983504233,0.5546875,0.47761194029850745,0.5412186379928315,0.5118110236220472,22.43,24.59,11.18,11.25,7.301747243380178,0.0163957316738108,0.17615039532398868,1,48.01
9,maximale,rapide,9,0.0,22,0.25150582859597037,0.06788954516052065,170.26108333333335,150.4543333333333,-19.80675,885.0,0.1,0.08,0.49789817842129847,0.4917184265010352,0.5925925925925926,0.47953216374269003,0.5231481481481481,0.5437262357414449,19.32,21.41,9.5,9.82,6.447932659773475,0.01948850450962845,0.15140788742014735,1,47.64
10,maximale,rapide,9,0.0,22,0.23676052297920094,0.06516694391758501,216.46983333333338,209.24108333333334,-7.228749999999999,1370.0,0.2,0.19,0.5009235315847802,0.49829609996213553,0.5671981776765376,0.5010060362173038,0.5423387096774194,0.5362068965517242,26.41,27.07,13.16,13.25,8.277596870996918,0.02211490968260689,0.1854085605655691,1,48.27
11,maximale,rapide,9,0.0,22,0.24661946869467502,0.055927027724648554,228.9261666666667,217.37383333333335,-11.552333333333335,1325.0,0.16,0.15,0.5029855988760098,0.49800652410293583,0.5576407506702413,0.5133333333333333,0.5275590551181102,0.5026833631484794,27.59,28.47,13.74,13.85,7.646873587262493,0.0214729435737108,0.18071123536363262,1,48.3
12,maximale,rapide,9,0.0,22,0.22339952226924698,0.06894039010368525,189.79216666666667,185.72441666666674,-4.067749999999992,1195.0,0.14,0.1,0.5010570824524313,0.506430155210643,0.556910569105691,0.5173501577287066,0.5244299674267101,0.4987593052109181,22.55,23.65,11.42,11.13,5.351066759363623,0.018601603723303696,0.15432101876644588,1,48.7
13,maximale,rapide,9,0.0,22,0.2029024197317387,0.07931618821023195,211.6990833333333,189.78775,-21.911333333333335,1075.0,0.18,0.13,0.5098193244304792,0.5047210300429185,0.5714285714285714,0.5170603674540682,0.5641646489104116,0.5354969574036511,23.3,25.46,11.76,11.54,5.573765936624466,0.014612597056208059,0.1596147383480443,1,48.49
14,maximale,rapide,9,0.0,22,0.2233689047169801,0.08314316523167568,206.7735,189.0966666666667,-17.676833333333335,1110.0,0.17,0.14,0.5065606361829026,0.4985263157894737,0.5741935483870968,0.49489795918367346,0.5267379679144385,0.5188866799204771,23.75,25.15,11.84,11.91,5.264110449957715,0.01719070318491407,0.16974743009989815,1,50.18
